card_id,build_card_id,nome,ovr,posicao,box,funcao,motor_versao,impeto_aplicado,lote,origem,build_versao,atualizado,motivo,registro_chave
"103041","103041","Luis Rioja","74","MLE",,"Meia de lado por dentro","6","Técnica +1","linha_2998","nativa","v6","2026-08-11 13:42:28.65508+00","vaga livre — A COLETAR","103041|Meia de lado por dentro|6"
"103041","103041","Luis Rioja","74","MLE",,"Meia de lado por fora","6","Técnica +1","linha_3000","nativa","v6","2026-08-11 13:42:34.57656+00","vaga livre — A COLETAR","103041|Meia de lado por fora|6"
"103041","103041","Luis Rioja","74","MLE",,"Meia ofensivo armador","6","Técnica +1","linha_3003","comprada:MO","v6","2026-08-11 13:48:41.695025+00","vaga livre — A COLETAR","103041|Meia ofensivo armador|6"
"103041","103041","Luis Rioja","74","MLE",,"Ponta criadora","6","Técnica +1","linha_12313","comprada:PE","v6","2026-08-17 17:11:58.77159+00","vaga livre — A COLETAR","103041|Ponta criadora|6"
"105686797239795","105686797239795","Douglas Luiz","83","MC","Highlight English League 23-24","Meia central armador","6","Técnica +1","linha_2976","nativa","v6","2026-08-11 10:10:15.548367+00","vaga livre — A COLETAR","105686797239795|Meia central armador|6"
"105686797239795","105686797239795","Douglas Luiz","83","MC","Highlight English League 23-24","Meia central de chegada","6","Agilidade +1","linha_2979","nativa","v6","2026-08-11 10:18:33.87581+00","vaga livre — A COLETAR","105686797239795|Meia central de chegada|6"
"105686797239795","105686797239795","Douglas Luiz","83","MC","Highlight English League 23-24","Meia ofensivo armador","6","Criador de Jogadas +1","linha_2978","comprada:MO","v6","2026-08-11 10:12:21.54665+00","vaga livre — A COLETAR","105686797239795|Meia ofensivo armador|6"
"105686797239795","105686797239795","Douglas Luiz","83","MC","Highlight English League 23-24","Volante de construção","6","Passe +1","linha_2985","comprada:VOL","v6","2026-08-11 11:51:31.37186+00","vaga livre — A COLETAR","105686797239795|Volante de construção|6"
"105687065662081","105687065662081","Luis Rioja","78","MLE","Highlight Spanish League 23-24","Meia de lado por dentro","6","Condução Técnica +1","linha_2981","nativa","v6","2026-08-11 13:07:41.729038+00","vaga livre — A COLETAR","105687065662081|Meia de lado por dentro|6"
"105687065662081","105687065662081","Luis Rioja","78","MLE","Highlight Spanish League 23-24","Meia de lado por fora","6","Técnica +1","linha_2982","nativa","v6","2026-08-11 13:09:51.290292+00","vaga livre — A COLETAR","105687065662081|Meia de lado por fora|6"
"105687065662081","105687065662081","Luis Rioja","78","MLE","Highlight Spanish League 23-24","Meia ofensivo armador","6","Técnica +1","linha_2983","comprada:MO","v6","2026-08-11 13:05:35.215845+00","vaga livre — A COLETAR","105687065662081|Meia ofensivo armador|6"
"105687065662081","105687065662081","Luis Rioja","78","MLE","Highlight Spanish League 23-24","Ponta criadora","6","Física +1","linha_2980","comprada:PE","v6","2026-08-11 19:14:26.178044+00","vaga livre — A COLETAR","105687065662081|Ponta criadora|6"
"105724646566013","105724646566013","Luiz Gustavo","78","VOL","Brazilian League Selection 12 Dec '24","Lateral ofensivo","6","Duelo (Divididas) +1","linha_2807","comprada:LE","v6","2026-08-11 12:30:53.068411+00","vaga livre — A COLETAR","105724646566013|Lateral ofensivo|6"
"105724646566013","105724646566013","Luiz Gustavo","78","VOL","Brazilian League Selection 12 Dec '24","Meia central armador","6","Técnica +1","linha_2794","comprada:MC","v6","2026-08-11 12:18:25.637251+00","vaga livre — A COLETAR","105724646566013|Meia central armador|6"
"105724646566013","105724646566013","Luiz Gustavo","78","VOL","Brazilian League Selection 12 Dec '24","Meia de lado por dentro","6","Técnica +1","linha_2813","comprada:MLE","v6","2026-08-11 12:30:54.418354+00","vaga livre — A COLETAR","105724646566013|Meia de lado por dentro|6"
"105724646566013","105724646566013","Luiz Gustavo","78","VOL","Brazilian League Selection 12 Dec '24","Volante de construção","6","Reconstrução +1","linha_2799","nativa","v6","2026-08-11 12:26:38.877548+00","vaga livre — A COLETAR","105724646566013|Volante de construção|6"
"105724646566013","105724646566013","Luiz Gustavo","78","VOL","Brazilian League Selection 12 Dec '24","Volante de contenção","6","Duelo (Divididas) +1","linha_2795","nativa","v6","2026-08-11 12:22:31.912453+00","vaga livre — A COLETAR","105724646566013|Volante de contenção|6"
"105724646566013","105724646566013","Luiz Gustavo","78","VOL","Brazilian League Selection 12 Dec '24","Zagueiro de saída","6","Bloqueio Aéreo +1","linha_2796","comprada:ZC","v6","2026-08-11 12:22:32.159261+00","vaga livre — A COLETAR","105724646566013|Zagueiro de saída|6"
"105779944357135","105779944357135","Dominik Szoboszlai","83","MO","English League Selection 21 Aug '25","Meia central armador","6","Técnica +1","linha_12130","comprada:MC","v6","2026-08-17 14:48:00.531668+00","vaga livre — A COLETAR","105779944357135|Meia central armador|6"
"105779944357135","105779944357135","Dominik Szoboszlai","83","MO","English League Selection 21 Aug '25","Meia de lado por dentro","6","Condução Técnica +1","linha_10467","comprada:MLE","v6","2026-08-15 19:31:46.57763+00","vaga livre — A COLETAR","105779944357135|Meia de lado por dentro|6"
"105779944357135","105779944357135","Dominik Szoboszlai","83","MO","English League Selection 21 Aug '25","Meia ofensivo armador","6","Técnica +1","linha_3827","nativa","v6","2026-08-17 14:44:18.072588+00","vaga livre — A COLETAR","105779944357135|Meia ofensivo armador|6"
"105779944357135","105779944357135","Dominik Szoboszlai","83","MO","English League Selection 21 Aug '25","Ponta criadora","6","Fantasia +1","linha_3828","comprada:PD","v6","2026-08-17 14:44:18.262617+00","vaga livre — A COLETAR","105779944357135|Ponta criadora|6"
"105779944357135","105779944357135","Dominik Szoboszlai","83","MO","English League Selection 21 Aug '25","Segundo atacante","6","Técnica +1","linha_10472","nativa","v6","2026-08-15 19:31:47.513238+00","vaga livre — A COLETAR","105779944357135|Segundo atacante|6"
"105783165571441","105783165571441","Rafael Leao","83","PE","Italian League Selection 18 Sep '25","Centroavante móvel","6","Instinto Artilheiro +1","linha_10644","comprada:CA","v6","2026-08-15 20:01:13.37379+00","vaga livre — A COLETAR","105783165571441|Centroavante móvel|6"
"105783165571441","105783165571441","Rafael Leao","83","PE","Italian League Selection 18 Sep '25","Meia de lado por dentro","6","Agilidade +1","linha_10664","comprada:MLE","v6","2026-08-15 20:03:22.891993+00","vaga livre — A COLETAR","105783165571441|Meia de lado por dentro|6"
"105783165571441","105783165571441","Rafael Leao","83","PE","Italian League Selection 18 Sep '25","Meia ofensivo armador","6","Criador de Jogadas +1","linha_4494","comprada:SA","v6","2026-08-17 14:46:09.103542+00","vaga livre — A COLETAR","105783165571441|Meia ofensivo armador|6"
